"frequency";"r ngspice/ac.s_1_1_db";"i ngspice/ac.s_1_1_db"
10000;-0.262708;0
1.001e+07;-0.262981;0
2.001e+07;-0.263799;0
3.001e+07;-0.265162;0
4.001e+07;-0.267071;0
5.001e+07;-0.269526;0
6.001e+07;-0.272527;0
7.001e+07;-0.276076;0
8.001e+07;-0.280172;0
9.001e+07;-0.284816;0
1.0001e+08;-0.29001;0
1.1001e+08;-0.295755;0
1.2001e+08;-0.302052;0
1.3001e+08;-0.308901;0
1.4001e+08;-0.316305;0
1.5001e+08;-0.324265;0
1.6001e+08;-0.332783;0
1.7001e+08;-0.34186;0
1.8001e+08;-0.351498;0
1.9001e+08;-0.361699;0
2.0001e+08;-0.372466;0
2.1001e+08;-0.3838;0
2.2001e+08;-0.395704;0
2.3001e+08;-0.408181;0
2.4001e+08;-0.421232;0
2.5001e+08;-0.434862;0
2.6001e+08;-0.44907;0
2.7001e+08;-0.463864;0
2.8001e+08;-0.479244;0
2.9001e+08;-0.495213;0
3.0001e+08;-0.511775;0
3.1001e+08;-0.528933;0
3.2001e+08;-0.546693;0
3.3001e+08;-0.565056;0
3.4001e+08;-0.584027;0
3.5001e+08;-0.603609;0
3.6001e+08;-0.623807;0
3.7001e+08;-0.644625;0
3.8001e+08;-0.666068;0
3.9001e+08;-0.68814;0
4.0001e+08;-0.710845;0
4.1001e+08;-0.734189;0
4.2001e+08;-0.75817;0
4.3001e+08;-0.782813;0
4.4001e+08;-0.808102;0
4.5001e+08;-0.834044;0
4.6001e+08;-0.860665;0
4.7001e+08;-0.887949;0
4.8001e+08;-0.915909;0
4.9001e+08;-0.944552;0
5.0001e+08;-0.973882;0
5.1001e+08;-1.00391;0
5.2001e+08;-1.03463;0
5.3001e+08;-1.06607;0
5.4001e+08;-1.09821;0
5.5001e+08;-1.13108;0
5.6001e+08;-1.16468;0
5.7001e+08;-1.19901;0
5.8001e+08;-1.23408;0
5.9001e+08;-1.26989;0
6.0001e+08;-1.30648;0
6.1001e+08;-1.34383;0
6.2001e+08;-1.38193;0
6.3001e+08;-1.42084;0
6.4001e+08;-1.46053;0
6.5001e+08;-1.50101;0
6.6001e+08;-1.5423;0
6.7001e+08;-1.58438;0
6.8001e+08;-1.62732;0
6.9001e+08;-1.67108;0
7.0001e+08;-1.71567;0
7.1001e+08;-1.76112;0
7.2001e+08;-1.80742;0
7.3001e+08;-1.85459;0
7.4001e+08;-1.90263;0
7.5001e+08;-1.95156;0
7.6001e+08;-2.00139;0
7.7001e+08;-2.05212;0
7.8001e+08;-2.10377;0
7.9001e+08;-2.15634;0
8.0001e+08;-2.20984;0
8.1001e+08;-2.26429;0
8.2001e+08;-2.31962;0
8.3001e+08;-2.37606;0
8.4001e+08;-2.4334;0
8.5001e+08;-2.49173;0
8.6001e+08;-2.55105;0
8.7001e+08;-2.61137;0
8.8001e+08;-2.67271;0
8.9001e+08;-2.73508;0
9.0001e+08;-2.79848;0
9.1001e+08;-2.86292;0
9.2001e+08;-2.92833;0
9.3001e+08;-2.99499;0
9.4001e+08;-3.06264;0
9.5001e+08;-3.13136;0
9.6001e+08;-3.20119;0
9.7001e+08;-3.27212;0
9.8001e+08;-3.34417;0
9.9001e+08;-3.41734;0
1.00001e+09;-3.49165;0
1.01001e+09;-3.56711;0
1.02001e+09;-3.64371;0
1.03001e+09;-3.72148;0
1.04001e+09;-3.80043;0
1.05001e+09;-3.88041;0
1.06001e+09;-3.96187;0
1.07001e+09;-4.04438;0
1.08001e+09;-4.12811;0
1.09001e+09;-4.21304;0
1.10001e+09;-4.29903;0
1.11001e+09;-4.38659;0
1.12001e+09;-4.47522;0
1.13001e+09;-4.5651;0
1.14001e+09;-4.65622;0
1.15001e+09;-4.7486;0
1.16001e+09;-4.84225;0
1.17001e+09;-4.93717;0
1.18001e+09;-5.03336;0
1.19001e+09;-5.13083;0
1.20001e+09;-5.22937;0
1.21001e+09;-5.32963;0
1.22001e+09;-5.43097;0
1.23001e+09;-5.5336;0
1.24001e+09;-5.63752;0
1.25001e+09;-5.74275;0
1.26001e+09;-5.84927;0
1.27001e+09;-5.9571;0
1.28001e+09;-6.06623;0
1.29001e+09;-6.17666;0
1.30001e+09;-6.28839;0
1.31001e+09;-6.40141;0
1.32001e+09;-6.51573;0
1.33001e+09;-6.63134;0
1.34001e+09;-6.74824;0
1.35001e+09;-6.86643;0
1.36001e+09;-6.98589;0
1.37001e+09;-7.10662;0
1.38001e+09;-7.22861;0
1.39001e+09;-7.35186;0
1.40001e+09;-7.47563;0
1.41001e+09;-7.60207;0
1.42001e+09;-7.72902;0
1.43001e+09;-7.85641;0
1.44001e+09;-7.98653;0
1.45001e+09;-8.11706;0
1.46001e+09;-8.24876;0
1.47001e+09;-8.38161;0
1.48001e+09;-8.51558;0
1.49001e+09;-8.65066;0
1.50001e+09;-8.78683;0
1.51001e+09;-8.92407;0
1.52001e+09;-9.06235;0
1.53001e+09;-9.20164;0
1.54001e+09;-9.34193;0
1.55001e+09;-9.48318;0
1.56001e+09;-9.62536;0
