"frequency";"r ngspice/ac.s_1_2_db";"i ngspice/ac.s_1_2_db"
1e+06;-159.692;0
1.09995e+07;-138.851;0
2.0999e+07;-133.199;0
3.09985e+07;-129.759;0
4.0998e+07;-127.253;0
5.09975e+07;-125.259;0
6.0997e+07;-123.588;0
7.09965e+07;-122.136;0
8.0996e+07;-120.842;0
9.09955e+07;-119.668;0
1.00995e+08;-118.587;0
1.10995e+08;-117.581;0
1.20994e+08;-116.636;0
1.30994e+08;-115.742;0
1.40993e+08;-114.893;0
1.50993e+08;-114.082;0
1.60992e+08;-113.304;0
1.70992e+08;-112.557;0
1.80991e+08;-111.837;0
1.90991e+08;-111.142;0
2.0099e+08;-110.47;0
2.1099e+08;-109.818;0
2.20989e+08;-109.186;0
2.30989e+08;-108.573;0
2.40988e+08;-107.976;0
2.50988e+08;-107.395;0
2.60987e+08;-106.83;0
2.70987e+08;-106.278;0
2.80986e+08;-105.741;0
2.90986e+08;-105.216;0
3.00985e+08;-104.703;0
3.10985e+08;-104.202;0
3.20984e+08;-103.712;0
3.30984e+08;-103.232;0
3.40983e+08;-102.763;0
3.50983e+08;-102.303;0
3.60982e+08;-101.853;0
3.70982e+08;-101.411;0
3.80981e+08;-100.978;0
3.90981e+08;-100.553;0
4.0098e+08;-100.136;0
4.1098e+08;-99.7259;0
4.20979e+08;-99.3233;0
4.30979e+08;-98.9276;0
4.40978e+08;-98.5386;0
4.50978e+08;-98.156;0
4.60977e+08;-97.7796;0
4.70977e+08;-97.4091;0
4.80976e+08;-97.0444;0
4.90976e+08;-96.6852;0
5.00975e+08;-96.3313;0
5.10975e+08;-95.9826;0
5.20974e+08;-95.6388;0
5.30974e+08;-95.2999;0
5.40973e+08;-94.9656;0
5.50973e+08;-94.6358;0
5.60972e+08;-94.3103;0
5.70972e+08;-93.9891;0
5.80971e+08;-93.6719;0
5.90971e+08;-93.3587;0
6.0097e+08;-93.0492;0
6.1097e+08;-92.7435;0
6.20969e+08;-92.4414;0
6.30969e+08;-92.1428;0
6.40968e+08;-91.8475;0
6.50968e+08;-91.5556;0
6.60967e+08;-91.2668;0
6.70967e+08;-90.981;0
6.80966e+08;-90.6984;0
6.90966e+08;-90.4185;0
7.00965e+08;-90.1416;0
7.10965e+08;-89.8674;0
7.20964e+08;-89.5959;0
7.30964e+08;-89.3271;0
7.40963e+08;-89.0606;0
7.50963e+08;-88.7968;0
7.60962e+08;-88.5352;0
7.70962e+08;-88.2761;0
7.80961e+08;-88.0192;0
7.90961e+08;-87.7645;0
8.0096e+08;-87.512;0
8.1096e+08;-87.2616;0
8.20959e+08;-87.0132;0
8.30959e+08;-86.7668;0
8.40958e+08;-86.5224;0
8.50958e+08;-86.2799;0
8.60957e+08;-86.0392;0
8.70957e+08;-85.8004;0
8.80956e+08;-85.5632;0
8.90956e+08;-85.3278;0
9.00955e+08;-85.094;0
9.10955e+08;-84.8619;0
9.20954e+08;-84.6315;0
9.30954e+08;-84.4024;0
9.40953e+08;-84.1751;0
9.50953e+08;-83.9489;0
9.60952e+08;-83.7244;0
9.70952e+08;-83.5013;0
9.80951e+08;-83.2795;0
9.90951e+08;-83.0591;0
1.00095e+09;-82.8399;0
1.01095e+09;-82.622;0
1.02095e+09;-82.4053;0
1.03095e+09;-82.1899;0
1.04095e+09;-81.9758;0
1.05095e+09;-81.7624;0
1.06095e+09;-81.5505;0
1.07095e+09;-81.3395;0
1.08095e+09;-81.1296;0
1.09095e+09;-80.9207;0
1.10095e+09;-80.713;0
1.11094e+09;-80.506;0
1.12094e+09;-80.3;0
1.13094e+09;-80.095;0
1.14094e+09;-79.8908;0
1.15094e+09;-79.6876;0
1.16094e+09;-79.4853;0
1.17094e+09;-79.2835;0
1.18094e+09;-79.0829;0
1.19094e+09;-78.8826;0
1.20094e+09;-78.6833;0
1.21094e+09;-78.4847;0
1.22094e+09;-78.2868;0
1.23094e+09;-78.0896;0
1.24094e+09;-77.8929;0
1.25094e+09;-77.697;0
1.26094e+09;-77.5015;0
1.27094e+09;-77.3069;0
1.28094e+09;-77.1124;0
1.29094e+09;-76.9187;0
1.30094e+09;-76.7255;0
1.31093e+09;-76.5327;0
1.32093e+09;-76.3404;0
1.33093e+09;-76.1484;0
1.34093e+09;-75.9571;0
1.35093e+09;-75.7658;0
1.36093e+09;-75.5751;0
1.37093e+09;-75.3847;0
1.38093e+09;-75.1946;0
1.39093e+09;-75.0047;0
1.40093e+09;-74.8153;0
1.41093e+09;-74.6259;0
1.42093e+09;-74.4367;0
1.43093e+09;-74.2479;0
1.44093e+09;-74.0591;0
1.45093e+09;-73.8704;0
1.46093e+09;-73.6819;0
1.47093e+09;-73.4936;0
1.48093e+09;-73.3051;0
1.49093e+09;-73.1168;0
1.50093e+09;-72.9286;0
1.51092e+09;-72.7401;0
1.52092e+09;-72.5517;0
1.53092e+09;-72.3631;0
1.54092e+09;-72.1747;0
1.55092e+09;-71.9859;0
1.56092e+09;-71.797;0
1.57092e+09;-71.608;0
1.58092e+09;-71.4186;0
1.59092e+09;-71.229;0
1.60092e+09;-71.0391;0
1.61092e+09;-70.849;0
1.62092e+09;-70.6584;0
1.63092e+09;-70.4675;0
1.64092e+09;-70.2762;0
1.65092e+09;-70.0844;0
1.66092e+09;-69.892;0
1.67092e+09;-69.6991;0
1.68092e+09;-69.5058;0
1.69092e+09;-69.3118;0
1.70092e+09;-69.1171;0
1.71091e+09;-68.9218;0
1.72091e+09;-68.7257;0
1.73091e+09;-68.5287;0
1.74091e+09;-68.3311;0
1.75091e+09;-68.1325;0
1.76091e+09;-67.933;0
1.77091e+09;-67.7325;0
1.78091e+09;-67.5311;0
1.79091e+09;-67.3286;0
1.80091e+09;-67.1249;0
1.81091e+09;-66.9201;0
1.82091e+09;-66.714;0
1.83091e+09;-66.5067;0
1.84091e+09;-66.2978;0
1.85091e+09;-66.0877;0
1.86091e+09;-65.876;0
1.87091e+09;-65.6628;0
1.88091e+09;-65.448;0
1.89091e+09;-65.2314;0
1.90091e+09;-65.013;0
1.9109e+09;-64.7928;0
1.9209e+09;-64.5707;0
1.9309e+09;-64.3465;0
1.9409e+09;-64.1201;0
1.9509e+09;-63.8917;0
1.9609e+09;-63.6608;0
1.9709e+09;-63.4274;0
1.9809e+09;-63.1916;0
1.9909e+09;-62.9533;0
2.0009e+09;-62.7119;0
2.0109e+09;-62.4678;0
2.0209e+09;-62.2208;0
2.0309e+09;-61.9705;0
2.0409e+09;-61.7168;0
2.0509e+09;-61.4597;0
2.0609e+09;-61.1992;0
2.0709e+09;-60.9348;0
2.0809e+09;-60.6665;0
2.0909e+09;-60.3942;0
2.1009e+09;-60.1176;0
2.11089e+09;-59.8365;0
2.12089e+09;-59.5508;0
2.13089e+09;-59.2601;0
2.14089e+09;-58.9645;0
2.15089e+09;-58.6635;0
2.16089e+09;-58.357;0
2.17089e+09;-58.0448;0
2.18089e+09;-57.7267;0
2.19089e+09;-57.4023;0
2.20089e+09;-57.0715;0
2.21089e+09;-56.7341;0
2.22089e+09;-56.3898;0
2.23089e+09;-56.0385;0
2.24089e+09;-55.6801;0
2.25089e+09;-55.3144;0
2.26089e+09;-54.9413;0
2.27089e+09;-54.561;0
2.28089e+09;-54.1735;0
2.29089e+09;-53.7791;0
2.30089e+09;-53.3785;0
2.31088e+09;-52.972;0
