"frequency";"r ngspice/ac.s_2_1_db";"i ngspice/ac.s_2_1_db"
10000;-121.739;0
1.001e+07;-61.7074;0
2.001e+07;-55.6244;0
3.001e+07;-51.9951;0
4.001e+07;-49.3489;0
5.001e+07;-47.2279;0
6.001e+07;-45.4307;0
7.001e+07;-43.852;0
8.001e+07;-42.4309;0
9.001e+07;-41.1296;0
1.0001e+08;-39.9231;0
1.1001e+08;-38.7944;0
1.2001e+08;-37.7314;0
1.3001e+08;-36.7251;0
1.4001e+08;-35.7687;0
1.5001e+08;-34.8569;0
1.6001e+08;-33.9852;0
1.7001e+08;-33.1503;0
1.8001e+08;-32.349;0
1.9001e+08;-31.5787;0
2.0001e+08;-30.8373;0
2.1001e+08;-30.1227;0
2.2001e+08;-29.4332;0
2.3001e+08;-28.7671;0
2.4001e+08;-28.1231;0
2.5001e+08;-27.4997;0
2.6001e+08;-26.8959;0
2.7001e+08;-26.3105;0
2.8001e+08;-25.7425;0
2.9001e+08;-25.191;0
3.0001e+08;-24.6551;0
3.1001e+08;-24.134;0
3.2001e+08;-23.6269;0
3.3001e+08;-23.1332;0
3.4001e+08;-22.6523;0
3.5001e+08;-22.1835;0
3.6001e+08;-21.7263;0
3.7001e+08;-21.2802;0
3.8001e+08;-20.8446;0
3.9001e+08;-20.4192;0
4.0001e+08;-20.0034;0
4.1001e+08;-19.597;0
4.2001e+08;-19.1994;0
4.3001e+08;-18.8104;0
4.4001e+08;-18.4296;0
4.5001e+08;-18.0567;0
4.6001e+08;-17.6914;0
4.7001e+08;-17.3334;0
4.8001e+08;-16.9825;0
4.9001e+08;-16.6384;0
5.0001e+08;-16.3008;0
5.1001e+08;-15.9696;0
5.2001e+08;-15.6445;0
5.3001e+08;-15.3253;0
5.4001e+08;-15.0118;0
5.5001e+08;-14.7039;0
5.6001e+08;-14.4014;0
5.7001e+08;-14.1041;0
5.8001e+08;-13.8118;0
5.9001e+08;-13.5244;0
6.0001e+08;-13.2418;0
6.1001e+08;-12.9638;0
6.2001e+08;-12.6903;0
6.3001e+08;-12.4212;0
6.4001e+08;-12.1563;0
6.5001e+08;-11.8955;0
6.6001e+08;-11.6388;0
6.7001e+08;-11.3861;0
6.8001e+08;-11.1371;0
6.9001e+08;-10.8919;0
7.0001e+08;-10.6503;0
7.1001e+08;-10.4123;0
7.2001e+08;-10.1778;0
7.3001e+08;-9.94664;0
7.4001e+08;-9.71882;0
7.5001e+08;-9.49425;0
7.6001e+08;-9.27286;0
7.7001e+08;-9.05457;0
7.8001e+08;-8.83933;0
7.9001e+08;-8.62707;0
8.0001e+08;-8.41773;0
8.1001e+08;-8.21126;0
8.2001e+08;-8.00769;0
8.3001e+08;-7.80668;0
8.4001e+08;-7.60847;0
8.5001e+08;-7.41291;0
8.6001e+08;-7.21995;0
8.7001e+08;-7.02955;0
8.8001e+08;-6.84166;0
8.9001e+08;-6.65624;0
9.0001e+08;-6.47325;0
9.1001e+08;-6.29264;0
9.2001e+08;-6.11448;0
9.3001e+08;-5.93842;0
9.4001e+08;-5.76473;0
9.5001e+08;-5.59327;0
9.6001e+08;-5.42401;0
9.7001e+08;-5.25691;0
9.8001e+08;-5.09194;0
9.9001e+08;-4.92907;0
1.00001e+09;-4.76827;0
1.01001e+09;-4.60949;0
1.02001e+09;-4.45272;0
1.03001e+09;-4.29793;0
1.04001e+09;-4.14507;0
1.05001e+09;-3.99424;0
1.06001e+09;-3.84508;0
1.07001e+09;-3.69789;0
1.08001e+09;-3.55254;0
1.09001e+09;-3.40898;0
1.10001e+09;-3.26731;0
1.11001e+09;-3.12719;0
1.12001e+09;-2.9889;0
1.13001e+09;-2.85231;0
1.14001e+09;-2.7174;0
1.15001e+09;-2.58414;0
1.16001e+09;-2.45251;0
1.17001e+09;-2.32248;0
1.18001e+09;-2.19403;0
1.19001e+09;-2.06714;0
1.20001e+09;-1.94187;0
1.21001e+09;-1.81793;0
1.22001e+09;-1.69556;0
1.23001e+09;-1.57465;0
1.24001e+09;-1.45518;0
1.25001e+09;-1.33712;0
1.26001e+09;-1.22045;0
1.27001e+09;-1.10515;0
1.28001e+09;-0.991186;0
1.29001e+09;-0.878547;0
1.30001e+09;-0.767204;0
1.31001e+09;-0.657134;0
1.32001e+09;-0.548313;0
1.33001e+09;-0.440719;0
1.34001e+09;-0.334327;0
1.35001e+09;-0.229115;0
1.36001e+09;-0.125058;0
1.37001e+09;-0.0221325;0
1.38001e+09;0.0796843;0
1.39001e+09;0.180417;0
1.40001e+09;0.279933;0
1.41001e+09;0.378722;0
1.42001e+09;0.476343;0
1.43001e+09;0.572826;0
1.44001e+09;0.668642;0
1.45001e+09;0.763367;0
1.46001e+09;0.857175;0
1.47001e+09;0.95009;0
1.48001e+09;1.04214;0
1.49001e+09;1.13334;0
1.50001e+09;1.22372;0
1.51001e+09;1.3133;0
1.52001e+09;1.40211;0
1.53001e+09;1.49018;0
1.54001e+09;1.57752;0
1.55001e+09;1.66416;0
1.56001e+09;1.75013;0
1.57001e+09;1.83544;0
1.58001e+09;1.92013;0
1.59001e+09;2.00422;0
1.60001e+09;2.08773;0
1.61001e+09;2.17068;0
1.62001e+09;2.25299;0
1.63001e+09;2.33502;0
1.64001e+09;2.41646;0
1.65001e+09;2.49743;0
1.66001e+09;2.57797;0
1.67001e+09;2.6581;0
1.68001e+09;2.73784;0
1.69001e+09;2.81722;0
1.70001e+09;2.89625;0
1.71001e+09;2.97496;0
1.72001e+09;3.05338;0
1.73001e+09;3.13152;0
1.74001e+09;3.2094;0
1.75001e+09;3.28706;0
1.76001e+09;3.3645;0
1.77001e+09;3.44176;0
1.78001e+09;3.51885;0
1.79001e+09;3.59579;0
1.80001e+09;3.6726;0
1.81001e+09;3.7493;0
1.82001e+09;3.82591;0
1.83001e+09;3.90245;0
1.84001e+09;3.97893;0
1.85001e+09;4.05538;0
1.86001e+09;4.13173;0
1.87001e+09;4.20823;0
1.88001e+09;4.28466;0
1.89001e+09;4.36111;0
1.90001e+09;4.4376;0
1.91001e+09;4.51407;0
1.92001e+09;4.59074;0
1.93001e+09;4.6674;0
1.94001e+09;4.74415;0
1.95001e+09;4.82098;0
1.96001e+09;4.8979;0
1.97001e+09;4.97486;0
1.98001e+09;5.05204;0
1.99001e+09;5.12926;0
2.00001e+09;5.20657;0
2.01001e+09;5.28393;0
2.02001e+09;5.36149;0
2.03001e+09;5.43909;0
2.04001e+09;5.5167;0
2.05001e+09;5.59449;0
2.06001e+09;5.67227;0
2.07001e+09;5.75008;0
2.08001e+09;5.8279;0
2.09001e+09;5.90571;0
2.10001e+09;5.98348;0
2.11001e+09;6.06118;0
2.12001e+09;6.13877;0
2.13001e+09;6.2162;0
2.14001e+09;6.29345;0
2.15001e+09;6.37045;0
2.16001e+09;6.44716;0
2.17001e+09;6.52352;0
2.18001e+09;6.59945;0
2.19001e+09;6.67485;0
2.20001e+09;6.74976;0
2.21001e+09;6.82395;0
2.22001e+09;6.89746;0
2.23001e+09;6.97009;0
2.24001e+09;7.04179;0
2.25001e+09;7.11242;0
2.26001e+09;7.18189;0
2.27001e+09;7.25005;0
2.28001e+09;7.31678;0
2.29001e+09;7.38193;0
2.30001e+09;7.44536;0
2.31001e+09;7.5069;0
2.32001e+09;7.5664;0
2.33001e+09;7.62368;0
2.34001e+09;7.67856;0
2.35001e+09;7.73087;0
2.36001e+09;7.78041;0
2.37001e+09;7.82699;0
2.38001e+09;7.87042;0
2.39001e+09;7.91049;0
2.40001e+09;7.94701;0
2.41001e+09;7.97978;0
2.42001e+09;8.00857;0
2.43001e+09;8.03321;0
2.44001e+09;8.05355;0
2.45001e+09;8.06933;0
2.46001e+09;8.08036;0
2.47001e+09;8.08655;0
2.48001e+09;8.08771;0
2.49001e+09;8.08369;0
2.50001e+09;8.07437;0
2.51001e+09;8.05963;0
2.52001e+09;8.03938;0
2.53001e+09;8.01354;0
2.54001e+09;7.98214;0
2.55001e+09;7.945;0
2.56001e+09;7.90216;0
2.57001e+09;7.85355;0
2.58001e+09;7.79938;0
2.59001e+09;7.73961;0
2.60001e+09;7.67432;0
2.61001e+09;7.6037;0
2.62001e+09;7.52752;0
2.63001e+09;7.44626;0
2.64001e+09;7.35994;0
2.65001e+09;7.26872;0
2.66001e+09;7.17291;0
2.67001e+09;7.07227;0
2.68001e+09;6.96742;0
2.69001e+09;6.85855;0
