"frequency";"r ngspice/ac.s_1_1_db";"i ngspice/ac.s_1_1_db"
1e+06;-0.26271;0
1.09995e+07;-0.262976;0
2.0999e+07;-0.263684;0
3.09985e+07;-0.264836;0
4.0998e+07;-0.26643;0
5.09975e+07;-0.268468;0
6.0997e+07;-0.270949;0
7.09965e+07;-0.273874;0
8.0996e+07;-0.277243;0
9.09955e+07;-0.281056;0
1.00995e+08;-0.285314;0
1.10995e+08;-0.290016;0
1.20994e+08;-0.295165;0
1.30994e+08;-0.30076;0
1.40993e+08;-0.306802;0
1.50993e+08;-0.313291;0
1.60992e+08;-0.320228;0
1.70992e+08;-0.327614;0
1.80991e+08;-0.33545;0
1.90991e+08;-0.343735;0
2.0099e+08;-0.352473;0
2.1099e+08;-0.361662;0
2.20989e+08;-0.371304;0
2.30989e+08;-0.381401;0
2.40988e+08;-0.391952;0
2.50988e+08;-0.402959;0
2.60987e+08;-0.414426;0
2.70987e+08;-0.426349;0
2.80986e+08;-0.438733;0
2.90986e+08;-0.451576;0
3.00985e+08;-0.464885;0
3.10985e+08;-0.478654;0
3.20984e+08;-0.49289;0
3.30984e+08;-0.507591;0
3.40983e+08;-0.522763;0
3.50983e+08;-0.538403;0
3.60982e+08;-0.554511;0
3.70982e+08;-0.571095;0
3.80981e+08;-0.588153;0
3.90981e+08;-0.605687;0
4.0098e+08;-0.6237;0
4.1098e+08;-0.642187;0
4.20979e+08;-0.661166;0
4.30979e+08;-0.680617;0
4.40978e+08;-0.700559;0
4.50978e+08;-0.720989;0
4.60977e+08;-0.741908;0
4.70977e+08;-0.763318;0
4.80976e+08;-0.785222;0
4.90976e+08;-0.807614;0
5.00975e+08;-0.830511;0
5.10975e+08;-0.8539;0
5.20974e+08;-0.877808;0
5.30974e+08;-0.902203;0
5.40973e+08;-0.927123;0
5.50973e+08;-0.952534;0
5.60972e+08;-0.978466;0
5.70972e+08;-1.00491;0
5.80971e+08;-1.03188;0
5.90971e+08;-1.05935;0
6.0097e+08;-1.08736;0
6.1097e+08;-1.1159;0
6.20969e+08;-1.14494;0
6.30969e+08;-1.17451;0
6.40968e+08;-1.20465;0
6.50968e+08;-1.2353;0
6.60967e+08;-1.2665;0
6.70967e+08;-1.29824;0
6.80966e+08;-1.3305;0
6.90966e+08;-1.36335;0
7.00965e+08;-1.39671;0
7.10965e+08;-1.43066;0
7.20964e+08;-1.46514;0
7.30964e+08;-1.50017;0
7.40963e+08;-1.53581;0
7.50963e+08;-1.57197;0
7.60962e+08;-1.60874;0
7.70962e+08;-1.64605;0
7.80961e+08;-1.68393;0
7.90961e+08;-1.72243;0
8.0096e+08;-1.76148;0
8.1096e+08;-1.80116;0
8.20959e+08;-1.84138;0
8.30959e+08;-1.88225;0
8.40958e+08;-1.92367;0
8.50958e+08;-1.96568;0
8.60957e+08;-2.00836;0
8.70957e+08;-2.0516;0
8.80956e+08;-2.09551;0
8.90956e+08;-2.13997;0
9.00955e+08;-2.18513;0
9.10955e+08;-2.23084;0
9.20954e+08;-2.27718;0
9.30954e+08;-2.32423;0
9.40953e+08;-2.37177;0
9.50953e+08;-2.42019;0
9.60952e+08;-2.4691;0
9.70952e+08;-2.51866;0
9.80951e+08;-2.56897;0
9.90951e+08;-2.61985;0
1.00095e+09;-2.67149;0
1.01095e+09;-2.72371;0
1.02095e+09;-2.7767;0
1.03095e+09;-2.83029;0
1.04095e+09;-2.88445;0
1.05095e+09;-2.93962;0
1.06095e+09;-2.99528;0
1.07095e+09;-3.05175;0
1.08095e+09;-3.10882;0
1.09095e+09;-3.16672;0
1.10095e+09;-3.22511;0
1.11094e+09;-3.28447;0
1.12094e+09;-3.34456;0
1.13094e+09;-3.40526;0
1.14094e+09;-3.46685;0
1.15094e+09;-3.52905;0
1.16094e+09;-3.59187;0
1.17094e+09;-3.65587;0
1.18094e+09;-3.72022;0
1.19094e+09;-3.78579;0
1.20094e+09;-3.85185;0
1.21094e+09;-3.91886;0
1.22094e+09;-3.98651;0
1.23094e+09;-4.05497;0
1.24094e+09;-4.12441;0
1.25094e+09;-4.19451;0
1.26094e+09;-4.26562;0
1.27094e+09;-4.33721;0
1.28094e+09;-4.41019;0
1.29094e+09;-4.48367;0
1.30094e+09;-4.55801;0
1.31093e+09;-4.63342;0
1.32093e+09;-4.70953;0
1.33093e+09;-4.78673;0
1.34093e+09;-4.86442;0
1.35093e+09;-4.94366;0
1.36093e+09;-5.0234;0
