"frequency";"r ngspice/ac.s_1_2_db";"i ngspice/ac.s_1_2_db"
10000;-256.815;0
1.001e+07;-136.636;0
2.001e+07;-124.153;0
3.001e+07;-116.453;0
4.001e+07;-110.675;0
5.001e+07;-105.965;0
6.001e+07;-101.959;0
7.001e+07;-98.4626;0
8.001e+07;-95.3585;0
9.001e+07;-92.5678;0
1.0001e+08;-90.0342;0
1.1001e+08;-87.7155;0
1.2001e+08;-85.579;0
1.3001e+08;-83.5992;0
1.4001e+08;-81.7552;0
1.5001e+08;-80.0303;0
1.6001e+08;-78.4105;0
1.7001e+08;-76.884;0
1.8001e+08;-75.4412;0
1.9001e+08;-74.0735;0
2.0001e+08;-72.7738;0
2.1001e+08;-71.5358;0
2.2001e+08;-70.3542;0
2.3001e+08;-69.2242;0
2.4001e+08;-68.1416;0
2.5001e+08;-67.1028;0
2.6001e+08;-66.1046;0
2.7001e+08;-65.1439;0
2.8001e+08;-64.2182;0
2.9001e+08;-63.3251;0
3.0001e+08;-62.4626;0
3.1001e+08;-61.6287;0
3.2001e+08;-60.8216;0
3.3001e+08;-60.0399;0
3.4001e+08;-59.282;0
3.5001e+08;-58.5466;0
3.6001e+08;-57.8325;0
3.7001e+08;-57.1386;0
3.8001e+08;-56.4639;0
3.9001e+08;-55.8074;0
4.0001e+08;-55.1682;0
4.1001e+08;-54.5456;0
4.2001e+08;-53.9388;0
4.3001e+08;-53.347;0
4.4001e+08;-52.7696;0
4.5001e+08;-52.2061;0
4.6001e+08;-51.6557;0
4.7001e+08;-51.1181;0
4.8001e+08;-50.5927;0
4.9001e+08;-50.079;0
5.0001e+08;-49.5766;0
5.1001e+08;-49.0851;0
5.2001e+08;-48.6041;0
5.3001e+08;-48.1332;0
5.4001e+08;-47.672;0
5.5001e+08;-47.2203;0
5.6001e+08;-46.7777;0
5.7001e+08;-46.344;0
5.8001e+08;-45.9189;0
5.9001e+08;-45.502;0
6.0001e+08;-45.0932;0
6.1001e+08;-44.6922;0
6.2001e+08;-44.2988;0
6.3001e+08;-43.9128;0
6.4001e+08;-43.5339;0
6.5001e+08;-43.1621;0
6.6001e+08;-42.797;0
6.7001e+08;-42.4386;0
6.8001e+08;-42.0866;0
6.9001e+08;-41.7409;0
7.0001e+08;-41.4013;0
7.1001e+08;-41.0677;0
7.2001e+08;-40.74;0
7.3001e+08;-40.4181;0
7.4001e+08;-40.1017;0
7.5001e+08;-39.7908;0
7.6001e+08;-39.4852;0
7.7001e+08;-39.1849;0
7.8001e+08;-38.8897;0
