"frequency";"r ngspice/ac.s_2_2_db";"i ngspice/ac.s_2_2_db"
1e+06;-0.0125836;0
1.09995e+07;-0.0125841;0
2.0999e+07;-0.0125855;0
3.09985e+07;-0.0125877;0
4.0998e+07;-0.0125907;0
5.09975e+07;-0.0125946;0
6.0997e+07;-0.0125994;0
7.09965e+07;-0.012605;0
8.0996e+07;-0.0126115;0
9.09955e+07;-0.0126188;0
1.00995e+08;-0.012627;0
1.10995e+08;-0.012636;0
1.20994e+08;-0.0126459;0
1.30994e+08;-0.0126567;0
1.40993e+08;-0.0126683;0
1.50993e+08;-0.0126808;0
1.60992e+08;-0.0126942;0
1.70992e+08;-0.0127085;0
1.80991e+08;-0.0127236;0
1.90991e+08;-0.0127396;0
2.0099e+08;-0.0127566;0
2.1099e+08;-0.0127744;0
2.20989e+08;-0.0127932;0
2.30989e+08;-0.0128128;0
2.40988e+08;-0.0128334;0
2.50988e+08;-0.0128549;0
2.60987e+08;-0.0128773;0
2.70987e+08;-0.0129006;0
2.80986e+08;-0.0129249;0
2.90986e+08;-0.0129502;0
3.00985e+08;-0.0129764;0
3.10985e+08;-0.0130036;0
3.20984e+08;-0.0130318;0
3.30984e+08;-0.0130609;0
3.40983e+08;-0.013091;0
3.50983e+08;-0.0131222;0
3.60982e+08;-0.0131543;0
3.70982e+08;-0.0131875;0
3.80981e+08;-0.0132217;0
3.90981e+08;-0.013257;0
4.0098e+08;-0.0132933;0
4.1098e+08;-0.0133307;0
4.20979e+08;-0.0133692;0
4.30979e+08;-0.0134087;0
4.40978e+08;-0.0134494;0
4.50978e+08;-0.0134912;0
4.60977e+08;-0.0135341;0
4.70977e+08;-0.0135782;0
4.80976e+08;-0.0136234;0
4.90976e+08;-0.0136699;0
5.00975e+08;-0.0137175;0
5.10975e+08;-0.0137663;0
5.20974e+08;-0.0138164;0
5.30974e+08;-0.0138677;0
5.40973e+08;-0.0139203;0
5.50973e+08;-0.0139741;0
5.60972e+08;-0.0140293;0
5.70972e+08;-0.0140858;0
5.80971e+08;-0.0141436;0
5.90971e+08;-0.0142028;0
6.0097e+08;-0.0142634;0
6.1097e+08;-0.0143254;0
6.20969e+08;-0.0143888;0
6.30969e+08;-0.0144536;0
6.40968e+08;-0.01452;0
6.50968e+08;-0.0145879;0
6.60967e+08;-0.0146573;0
6.70967e+08;-0.0147282;0
6.80966e+08;-0.0148007;0
6.90966e+08;-0.0148749;0
7.00965e+08;-0.0149507;0
7.10965e+08;-0.0150282;0
7.20964e+08;-0.0151073;0
7.30964e+08;-0.0151883;0
7.40963e+08;-0.0152709;0
7.50963e+08;-0.0153554;0
7.60962e+08;-0.0154418;0
7.70962e+08;-0.01553;0
7.80961e+08;-0.0156201;0
7.90961e+08;-0.0157122;0
8.0096e+08;-0.0158062;0
8.1096e+08;-0.0159023;0
8.20959e+08;-0.0160005;0
8.30959e+08;-0.0161008;0
8.40958e+08;-0.0162033;0
8.50958e+08;-0.016308;0
8.60957e+08;-0.0164149;0
8.70957e+08;-0.0165242;0
8.80956e+08;-0.0166358;0
8.90956e+08;-0.0167498;0
9.00955e+08;-0.0168663;0
9.10955e+08;-0.0169853;0
9.20954e+08;-0.0171069;0
9.30954e+08;-0.0172312;0
9.40953e+08;-0.0173581;0
9.50953e+08;-0.0174879;0
9.60952e+08;-0.0176204;0
9.70952e+08;-0.0177559;0
9.80951e+08;-0.0178944;0
9.90951e+08;-0.0180359;0
1.00095e+09;-0.0181805;0
1.01095e+09;-0.0183284;0
1.02095e+09;-0.0184795;0
1.03095e+09;-0.018634;0
1.04095e+09;-0.0187919;0
1.05095e+09;-0.0189534;0
1.06095e+09;-0.0191186;0
1.07095e+09;-0.0192875;0
1.08095e+09;-0.0194602;0
1.09095e+09;-0.0196369;0
1.10095e+09;-0.0198176;0
1.11094e+09;-0.0200025;0
1.12094e+09;-0.0201916;0
1.13094e+09;-0.0203852;0
1.14094e+09;-0.0205833;0
1.15094e+09;-0.020786;0
1.16094e+09;-0.0209935;0
1.17094e+09;-0.021206;0
1.18094e+09;-0.0214235;0
1.19094e+09;-0.0216462;0
1.20094e+09;-0.0218743;0
1.21094e+09;-0.0221079;0
1.22094e+09;-0.0223473;0
1.23094e+09;-0.0225925;0
1.24094e+09;-0.0228438;0
1.25094e+09;-0.0231014;0
1.26094e+09;-0.0233654;0
1.27094e+09;-0.023636;0
1.28094e+09;-0.0239135;0
1.29094e+09;-0.0241982;0
1.30094e+09;-0.0244901;0
1.31093e+09;-0.0247896;0
1.32093e+09;-0.0250969;0
1.33093e+09;-0.0254124;0
1.34093e+09;-0.0257361;0
1.35093e+09;-0.0260685;0
1.36093e+09;-0.0264099;0
1.37093e+09;-0.0267605;0
1.38093e+09;-0.0271207;0
1.39093e+09;-0.0274909;0
